,Ticker,Average Daily Return,Standard Deviation of Daily Return,Annual Return 01,Annual Return 02,Win Rate,Num Trades,Num Winners,Num Losers,Sortino Ratio,Sharpe_ratio,Cumulative Returns,Annual Volatility,Max Drawdown,Calmar Ratio,Stability,Omega Ratio,Skew,Kurtosis,Tail Ratio,Daily Value at Risk (5%)
15,GM,0.00032641583364584174,0.00502139802592535,271.4413442237067,0.08225679007875211,120.68905749671298,1.0771481913639156,130,101,14780.03668468158,1.0319219253625038,-0.032477735188993884,0.42130524660720087,-0.5808165499800799,-0.0559173721721734,0.9326179601936673,2.135505932877817,0.07171167481503489,5.9545693988058925,-0.9905826472176208,-0.040278717749375414
16,CAT,0.0007349419824565921,0.00502139802592535,135.27514694054588,0.18520537957906122,309.2364040704785,0.5368061386529599,166,123,8930.931488275266,2.323425114203259,0.916892961046057,0.33461557784743545,-0.38554256038249807,2.378188701492267,0.9677677025434689,4.250075433097848,-0.22423996343144215,3.966138262782777,-0.967355658808115,-0.03197791169260711
17,LLY,0.0015577402733016122,0.00502139802592535,563.964702979075,0.3925505488720063,136.28512492713887,2.237955170551885,305,205,47177.03744382708,4.924596714827869,4.704264554487368,0.3097760673566633,-0.2248805496558983,20.91894813351183,1.03549843410681,103.16468391048971,1.4583849031897347,12.040448461667044,-0.921518926310545,-0.025215647071841152
18,HAL,0.0007456782915932982,0.00502139802592535,379.6686748079587,0.18791092948151114,105.5341213500611,1.5066217254284076,159,135,13963.5622586058,2.3573665828872126,0.11962375830897853,0.5667341902961522,-0.8792350230376225,0.13605435995451678,-1.2642429247647284,-0.8197814555521995,-0.7464914838276997,15.798167165385738,-0.9390493214261033,-0.04910994995097617
19,SHOP,0.0020301190870639692,0.00502139802592535,935.1142965474302,0.5115900099401203,74.9170451768905,3.710771018045358,278,210,34027.9633488442,6.417961940262964,3.3994106194202818,0.6617828112138696,-0.8481604137761973,4.00798075954212,1.2683597551521135,106.00830964707842,0.2849075644852313,3.2487184852969273,-0.9536806394214274,-0.06078709010385053
20,BMY,0.00014287524771320421,0.00502139802592535,198.64329703726284,0.03600456242372746,249.91530416799037,0.78826705173517,197,145,17315.000878461215,0.45168182885031616,0.04254682659398856,0.23455913283808927,-0.3487191795877463,0.12200885148986404,0.820315186275887,1.2323270424110946,-0.8335890617573583,8.220167675478004,-0.9695760986756398,-0.02091477687541904
21,CME,0.00045186129831618736,0.00502139802592535,189.44188034888555,0.11386904717567921,238.10996764246045,0.7517534934479585,179,126,12873.611589622516,1.4285017235443194,0.44684729615049923,0.28301899601935243,-0.37356066717293906,1.196184008161738,1.5034789720666921,6.808177700065817,-0.9954147179965805,18.798774226963573,-1.0210263098328318,-0.023735958115313982
22,ABBV,0.0006954108282697489,0.00502139802592535,353.54552992318816,0.17524352872397672,178.90765020771786,1.4029584520761436,251,156,25848.362268291727,2.198452424353449,1.0289789080946004,0.2624847887236397,-0.3404233829963962,3.022644622815153,0.9849234342434151,4.2505095340647525,-1.1729759953349341,13.119422133398388,-1.0602204706830367,-0.022615622365289578
23,TMUS,0.0007661704812715363,0.00502139802592535,323.3177764893043,0.19307496128042717,205.76660127501776,1.2830070495607315,264,207,26270.185559814356,2.4221500206006072,1.166518693426183,0.28253417785015394,-0.3198581068480819,3.646988050173843,1.6763434090038731,22.06072939336715,0.36572678692311833,7.791791163808611,-0.9511123547538697,-0.023968748853046618
24,BA,4.280662774204962e-05,0.00502139802592535,157.85850320707073,0.010787270190996505,172.40756403409856,0.6264226317740902,108,95,6785.679212192916,0.1353276807208416,-0.44684777662430963,0.5061417211344258,-0.7792005308626498,-0.5734695484994168,-1.4471379572883007,-0.831128635199412,0.2838445411616259,11.930402559396835,-0.9290137303610638,-0.043858763282302704
25,AIR.PA,0.0006083039721630564,0.00502139802592535,248.70655395260255,0.1532926009850902,219.8735784438614,0.9869307696531847,217,137,12393.100070979475,1.9230752355023102,0.40472720170492105,0.41746548180408727,-0.6470144027114281,0.6255304364305343,0.5246476445834036,0.6072610961402911,0.1417801192587288,13.963027406098576,-1.0200484104814604,-0.03416379266060174
26,AMAT,0.0015896412414806028,0.00502139802592535,607.0134669437449,0.4005895928531119,110.84432827951666,2.408783598983115,267,194,30391.453909853528,5.025447547143526,3.4019521576856224,0.4607017484397449,-0.551391962191276,6.169752899853656,1.5054365173784552,41.88357641306637,-0.2036424137495686,3.5392093072759856,-0.947884201169868,-0.04427044061959967
